,latitud,longitud,profundidad (km),magnitud (M),distrito,gasto por daño
4848,-8.778,-74.437,146,5.3,32,15037537500.0
4849,-12.9,-75.14,80,4.5,29,82972500000.0
4850,-9.78,-78.18,52,4.5,10,55328000000.0
4851,-10.839,-74.424,33,5.1,8,167976388949.99994
4852,-9.21,-77.21,27,4.5,32,15037537500.0
4853,-15.75,-69.59,220,5.5,20,71909500000.0
4854,-15.501,-71.9,31,4.8,20,71909500000.0
4855,-11.16,-75.391,117,4.8,8,167976388949.99994
4856,-10.49,-79.46,33,4.6,10,55328000000.0
4857,-10.33,-79.16,16,4.6,10,55328000000.0
4858,-15.41,-76.3,33,4.5,29,82972500000.0
4859,-8.47,-76.32,117,4.9,32,15037537500.0
4860,-9.3,-75.87,137,4.6,32,15037537500.0
4861,-11.28,-77.18,62,4.9,0,291359135593.2201
4862,-10.75,-74.97,19,4.5,8,167976388949.99994
4863,-15.6,-74.27,86,4.5,29,82972500000.0
4864,-5.57,-77.54,66,4.5,36,37964700000.0
4865,-7.615,-75.816,154,4.3,36,37964700000.0
4866,-17.43,-71.91,101,5.9,20,71909500000.0
4867,-13.85,-75.57,41,4.9,29,82972500000.0
4868,-3.173,-75.689,139,4.7,36,37964700000.0
4869,-11.09,-77.78,38,4.6,0,291359135593.2201
4870,-11.54,-73.16,50,4.5,34,66667680000.0
4871,-11.27,-78.34,32,4.9,0,291359135593.2201
4872,-11.78,-77.38,73,5.2,0,291359135593.2201
4873,-18.711,-70.764,71,4.8,20,71909500000.0
4874,-18.532,-72.863,33,4.7,20,71909500000.0
4875,-15.08,-75.47,42,5.5,29,82972500000.0
4876,-4.315,-81.248,33,4.8,13,43009540000.0
4877,-9.15,-77.42,14,5.0,32,15037537500.0
4878,-9.02,-77.99,27,5.1,32,15037537500.0
4879,-8.305,-74.41,123,4.5,32,15037537500.0
4880,-17.91,-69.45,144,5.3,20,71909500000.0
4881,-7.29,-76.76,145,4.6,36,37964700000.0
4882,-13.44,-76.69,45,5.4,22,87387300000.0
4883,-16.49,-73.17,69,5.1,20,71909500000.0
4884,-16.62,-73.19,66,4.5,20,71909500000.0
4885,-15.66,-72.24,30,4.5,20,71909500000.0
4886,-16.86,-68.68,125,4.9,20,71909500000.0
4887,-16.8,-73.4,39,4.8,20,71909500000.0
4888,-13.07,-76.19,60,4.9,22,87387300000.0
4889,-6.1,-77.36,144,4.5,36,37964700000.0
4890,-2.6,-76.74,153,5.8,36,37964700000.0
